Car unique id,first online date,car sold on date,manufacturer,model,fuel_type,buy price,last available online price,External market reference price
1277348993,2024-09-20,2024-11-28,BMW,X1,Benzin,25579,28052,29031
1277409439,2024-09-24,,Toyota,Aygo,Benzin,5832,9980,9158
1281183563,2024-11-15,,Renault,Grand Scenic,Diesel,10947,16133,15297
1280719666,2024-10-18,,Volkswagen,Golf VII,Benzin,10464,14136,13694
1283238160,2024-12-20,,MINI,MINI,Benzin,12667,17426,18518
1276712037,2024-09-23,2024-11-26,Volkswagen,Tiguan,Diesel,16956,21031,20147
1280547359,2024-11-01,2024-11-25,Jeep,Cherokee,Diesel,13038,19242,21380
1282835530,2024-11-14,2024-11-27,Volkswagen,T-Roc,Benzin,15593,18919,19472
1284173393,2024-12-11,,Hyundai,Kona,Benzin,12035,14027,13630
1284744203,2024-12-19,,Ford,Kuga,Benzin,11542,15617,15686
1279041390,2024-10-04,2024-12-31,MINI,MINI,Benzin,7599,12157,11393
1283197982,2024-11-26,,Toyota,Auris Touring Sports,Benzin,8907,13210,15309
1279583420,2024-10-08,2024-11-18,Opel,Cascada,Diesel,8177,11404,10299
1280765903,2024-10-22,2024-12-23,Opel,Karl,Benzin,9468,10905,12580
1283639192,2024-12-05,,Smart,fortwo,Benzin,13465,18991,17998
1281138624,2024-10-21,2024-10-28,Kia,Rio,Diesel,6845,9757,10271
1283662307,2024-12-06,2024-12-14,Ford,Focus,Benzin,,13068,13475
1284298764,2024-12-24,,BMW,4er,Benzin,19676,24823,26200
1280182563,2024-09-27,,Volkswagen,Polo,Benzin,9652,12262,13372
1281394579,2024-11-18,2024-12-11,Audi,A3 Limousine,Benzin,14109,18911,19038
1279845960,2024-10-05,2024-12-06,BMW,2er,Diesel,15220,17481,18812
1280273764,2024-10-02,2024-12-30,Volkswagen,Tiguan,Benzin,21612,24858,23828
1281041661,2024-10-23,2025-01-08,MINI,MINI,Benzin,8759,14160,13068
1280361541,2024-10-23,2025-01-09,Cupra,Formentor,Benzin,28047,32348,32297
1283246141,2024-12-05,,MINI,Clubman,Benzin,29068,32282,33902
1280614352,2024-10-22,,Mercedes-Benz,C-Klasse,Benzin,28062,32625,32792
1270488863,2024-12-18,,Jaguar,E-Pace,Benzin,21621,27819,29282
1276688317,2024-11-04,,Jaguar,E-Pace,Benzin,16746,22553,22875
1283194948,2024-12-06,,Mercedes-Benz,GLE-Klasse,Benzin,34393,40370,40970
1283197275,2024-11-27,,Volkswagen,T-Roc,Benzin,13670,17577,17976
1281494587,2024-11-13,2024-11-18,Citroen,Jumpy,Diesel,15952,22178,22930
1281147491,2024-12-18,,Opel,Insignia Grand Sport,Diesel,13228,15869,17199
1277642938,2024-10-22,2024-10-31,Dacia,Duster,Diesel,6658,11150,12438
1282618151,2024-12-12,,Skoda,Octavia,Benzin,18848,26212,26969
1262841853,2024-09-20,2024-10-18,Mitsubishi,Outlander,Hybrid,12641,18828,17889
1284709496,2024-12-19,,Mercedes-Benz,B-Klasse,Hybrid,18737,25281,26745
1219595998,2024-09-16,2024-09-19,Mazda,CX-3,Diesel,7389,11637,10826
1212681520,2024-10-11,2024-12-10,Renault,Twingo,Benzin,6497,8190,10000
1257776010,2024-10-22,2024-11-13,Volvo,XC60,Diesel,23040,30183,30217
1277541763,2025-01-06,,Skoda,Kodiaq,Benzin,23656,28248,28606
1267591559,2024-12-11,,Seat,Ibiza,Benzin,10571,13028,14132
1271632754,2024-10-01,2024-12-13,Seat,Ibiza,Benzin,8752,11062,12945
1271932066,2024-10-15,2025-01-02,Volkswagen,T-Roc,Diesel,16549,21352,20216
1283956288,2024-12-24,,Volkswagen,Tiguan,Benzin,20685,27222,25814
1265257525,2024-11-18,,Suzuki,Swift,Benzin,15688,20939,19763
1276917600,2024-09-20,2024-11-02,Volkswagen,Golf VII,Benzin,5918,12495,11210
1282777356,2024-11-20,2025-01-08,Opel,Astra,Benzin,9003,13283,15329
1283137042,2024-11-22,,Skoda,Fabia,Benzin,4774,7895,9942
1278434304,2024-09-14,2024-12-06,Audi,A5,Benzin,23007,23726,26056
1277936431,2024-09-23,2024-12-16,Mercedes-Benz,A-Klasse,Diesel,13926,13998,15620
1280478777,2024-11-29,,Nissan,Qashqai,Benzin,12792,20280,18662
1279034594,2024-09-25,2024-12-17,Volkswagen,Golf VII,Diesel,12263,14904,14685
1280337433,2024-10-24,2025-01-09,Mercedes-Benz,CLA-Klasse,Benzin,21459,26018,25366
1280905491,2024-11-04,,Volkswagen,up!,Benzin,14637,16649,17733
1248967388,2024-12-18,,Audi,A6,Diesel,20744,27728,25941
1281300267,2024-11-04,,Volkswagen,Caddy,Diesel,17388,23356,24174
1280906790,2024-12-13,2024-12-16,Renault,Espace,Diesel,13770,17053,16444
1282281039,2024-11-08,2025-01-06,Peugeot,508,Diesel,15107,20611,20892
1282215248,2024-11-09,,BMW,2er,Hybrid,13646,17710,17330
1279349700,2024-11-08,2024-11-09,Toyota,Corolla,Hybrid,14878,20968,21815
1280965102,2024-11-06,,Mitsubishi,Space Star,Benzin,3241,7639,6803
1279538541,2024-10-01,,Audi,TT,Benzin,17514,22970,23954
1251125158,2024-09-14,2024-12-14,Ford,Focus,Benzin,16486,19323,19706
1280523945,2024-11-12,,Citroen,C3 Aircross,Benzin,11760,14651,15224
1278558667,2024-09-27,2024-11-02,Mercedes-Benz,E-Klasse,Diesel,32209,37552,37988
1283562568,2024-12-06,,Audi,A3,Benzin,12768,16289,16613
1271168780,2024-11-09,,Peugeot,5008,Diesel,21278,26144,24528
1275937707,2024-10-02,2024-11-15,Ford,Focus,Benzin,15656,17567,17978
1280873986,2024-12-05,,Ford,Tourneo Custom,Diesel,30936,35799,35743
1284323336,2024-12-13,,Seat,Leon,Benzin,6167,11455,11465
1270196012,2024-10-02,2024-11-14,Ford,Mondeo,Diesel,15759,20541,19387
1281754141,2024-12-16,,Mercedes-Benz,A-Klasse,Benzin,11467,18199,18030
1281644777,2024-11-09,,Volkswagen,Golf VII,Benzin,11320,16015,17236
1281705690,2024-10-28,2024-12-23,Toyota,Aygo,Benzin,9262,10207,9969
1282440372,2024-11-10,,Volkswagen,Touran,Benzin,12220,15011,16507
1281858777,2024-10-30,2024-11-12,Audi,A3 Limousine,Benzin,13935,19934,19970
1283551074,2024-12-04,,Volkswagen,Golf VII Sportsvan,Benzin,6612,10741,10209
1270806078,2024-10-30,2024-11-07,Toyota,C-HR,Hybrid,12681,16391,17937
1282428174,2024-11-18,,Kia,pro_cee'd,Benzin,17840,23781,23306
1282756418,2024-11-18,,Renault,Clio,Benzin,6950,13399,13869
1279156979,2024-09-19,,Peugeot,3008,Diesel,16316,19774,21999
1282845100,2024-11-19,2025-01-02,Mercedes-Benz,GLC-Klasse,Diesel,23494,28100,30174
1283469536,2024-12-09,,BMW,X2,Benzin,19728,27398,28886
1280236954,2024-10-04,2024-10-25,Volkswagen,Scirocco,Benzin,12777,17072,16930
1277696784,2024-12-06,2024-12-09,Skoda,Fabia,Benzin,7973,12555,11872
1278573691,2024-11-29,,BMW,1er,Benzin,12591,18138,17340
1283632212,2024-12-04,,Renault,Clio,Benzin,8393,12194,12313
1279321364,2024-09-20,2024-09-26,Dacia,Sandero,Benzin,8310,13111,11882
1284073399,2024-12-20,,Volkswagen,Golf VII,Diesel,9559,14294,13870
1280327361,2024-11-14,2024-12-30,Seat,Leon,Benzin,11781,16624,17293
1274241554,2024-10-30,,Skoda,Citigo,Benzin,6423,11241,11950
1280083346,2024-09-19,,Volkswagen,Arteon,Benzin,21867,25900,25729
1280993680,2024-11-06,,Renault,Megane,Diesel,10271,12143,13781
1280842318,2024-10-14,,Skoda,Fabia,Benzin,6980,11116,12590
1280036878,2024-09-30,2024-10-30,Hyundai,i30,Benzin,14578,19051,19065
